S,Trig,Condition
mild_master_7,5,side=l_itd=0_az_itd=0_az=5_mag=0_lpf=0
mild_master_7,6,side=l_itd=0_az_itd=0_az=15_mag=0_lpf=0
mild_master_7,7,side=l_itd=0_az_itd=5_az=0_mag=0_lpf=0
mild_master_7,8,side=r_itd=0_az_itd=0_az=5_mag=0_lpf=0
mild_master_7,9,side=r_itd=0_az_itd=0_az=15_mag=0_lpf=0
mild_master_7,10,side=r_itd=0_az_itd=15_az=0_mag=0_lpf=0
mild_master_7,11,side=r_itd=0_az_itd=5_az=0_mag=0_lpf=0
mild_master_7,12,side=l_itd=0_az_itd=15_az=0_mag=0_lpf=0
mild_master_7,1,Inhale
mild_master_7,2,Exhale
mild_master_7,3,Hold_Breath
mild_master_7,4,Button_Press
mild_master_7,5,side=l_itd=0_az_itd=0_az=5_mag=0_lpf=0
mild_master_7,6,side=l_itd=0_az_itd=0_az=15_mag=0_lpf=0
mild_master_7,7,side=l_itd=0_az_itd=5_az=0_mag=0_lpf=0
mild_master_7,8,side=r_itd=0_az_itd=0_az=5_mag=0_lpf=0
mild_master_7,9,side=r_itd=0_az_itd=0_az=15_mag=0_lpf=0
mild_master_7,10,side=r_itd=0_az_itd=15_az=0_mag=0_lpf=0
mild_master_7,11,side=r_itd=0_az_itd=5_az=0_mag=0_lpf=0
mild_master_7,12,side=l_itd=0_az_itd=15_az=0_mag=0_lpf=0
mild_master_7,5,side=l_itd=0_az_itd=0_az=5_mag=0_lpf=0
mild_master_7,6,side=l_itd=0_az_itd=0_az=15_mag=0_lpf=0
mild_master_7,7,side=l_itd=0_az_itd=5_az=0_mag=0_lpf=0
mild_master_7,8,side=r_itd=0_az_itd=0_az=5_mag=0_lpf=0
mild_master_7,9,side=r_itd=0_az_itd=0_az=15_mag=0_lpf=0
mild_master_7,10,side=r_itd=0_az_itd=15_az=0_mag=0_lpf=0
mild_master_7,11,side=r_itd=0_az_itd=5_az=0_mag=0_lpf=0
mild_master_7,12,side=l_itd=0_az_itd=15_az=0_mag=0_lpf=0
mild_master_7,1,Inhale
mild_master_7,2,Exhale
mild_master_7,3,Hold_Breath
mild_master_7,4,Button_Press
mild_master_7,5,side=l_itd=0_az_itd=0_az=5_mag=0_lpf=0
mild_master_7,6,side=l_itd=0_az_itd=0_az=15_mag=0_lpf=0
mild_master_7,7,side=l_itd=0_az_itd=5_az=0_mag=0_lpf=0
mild_master_7,8,side=r_itd=0_az_itd=0_az=5_mag=0_lpf=0
mild_master_7,9,side=r_itd=0_az_itd=0_az=15_mag=0_lpf=0
mild_master_7,10,side=r_itd=0_az_itd=15_az=0_mag=0_lpf=0
mild_master_7,11,side=r_itd=0_az_itd=5_az=0_mag=0_lpf=0
mild_master_7,12,side=l_itd=0_az_itd=15_az=0_mag=0_lpf=0
